COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,,
PRODUCCION POR ENTIDAD FEDERATIVA,,,,,,,,,
"Datos de producción mensual de aceite, gas, condensado y agua por entidad federativa.",,,,,,,,,
Datos a enero - 2025.,,,,,,,,,
Notas: Las unidades corresponden a Miles de barriles diarios (Mbd) y Millones de pies cúbicos diarios (MMpcd),,,,,,,,,
Este reporte se emite con fines ilustrativos y no puede considerarse como información oficial para la determinación del monto de participaciones en los ingresos petroleros que corresponden a los estados.,,,,,,,,,
"A partir de 2016 se contabiliza la producción de petróleo a una temperatura de 15.56 grados Celsius, de conformidad con lo establecido en los Lineamientos Técnicos en Materia de Medición de Hidrocarburos.",,,,,,,,,
Hidrocarburos líquidos: Se refiere a la suma de petróleo y condensado.,,,,,,,,,
Las cifras están sujetas a revisión.,,,,,,,,,
,,,,,,,,,
FECHA,ENTIDAD_FEDERATIVA,HIDROCARBUROS_LIQUIDOS_MBD,PETROLEO_MBD,CONDENSADO_MBD,GAS_MMPCD,GAS_ASOC_MMPCD,GAS_NASOC_MMPCD,N2_MMPCD,AGUA_MBD
08/2001,CHIAPAS,47.097,47.097,0.0,593.63121,593.63121,0.0,,13.23062
08/2001,COAHUILA DE ZARAGOZA,0.0,0.0,0.0,9.290049999999999,0.0,9.290049999999999,,0.42606
08/2001,NUEVO LEÓN,0.82949,0.0,0.82949,444.48024000000004,0.0,444.48024000000004,,5.06067
08/2001,PUEBLA,2.49511,2.49511,0.0,10.47382,10.47382,0.0,,0.24858
08/2001,SAN LUIS POTOSÍ,0.65597,0.65597,0.0,0.25354,0.25354,0.0,,0.2657
08/2001,TABASCO,439.78811,438.78821999999997,0.9998900000000001,1132.92812,991.01263,141.91548,,54.16823
08/2001,TAMAULIPAS,25.729570000000002,23.60559,2.12398,585.80322,33.77072,552.0325,,36.262
08/2001,VERACRUZ DE IGNACIO DE LA LLAVE,61.98109,60.82825,1.1528399999999999,203.44051,75.57348999999999,127.86701000000001,,58.92663
09/2001,CAMPECHE,2603.28715,2603.28715,0.0,1519.20308,1518.61224,0.59084,,40.65496
09/2001,CHIAPAS,46.62747,46.62747,0.0,583.78098,583.78098,0.0,,13.88808
09/2001,COAHUILA DE ZARAGOZA,0.0,0.0,0.0,9.33865,0.0,9.33865,,0.4204
09/2001,NUEVO LEÓN,0.7521500000000001,0.0,0.7521500000000001,409.99182,0.0,409.99182,,3.72628
09/2001,PUEBLA,2.52891,2.52891,0.0,10.468029999999999,10.468029999999999,0.0,,0.25282000000000004
09/2001,SAN LUIS POTOSÍ,0.68529,0.68529,0.0,0.22101,0.22101,0.0,,0.18221
09/2001,TABASCO,438.94241999999997,438.11924999999997,0.82317,1135.83807,996.2713,139.56676000000002,,53.31591
09/2001,TAMAULIPAS,25.211199999999998,23.672169999999998,1.53903,496.51112,34.821439999999996,461.68968,,35.503299999999996
09/2001,VERACRUZ DE IGNACIO DE LA LLAVE,61.64297,60.74345,0.89952,181.43438,76.08456,105.3498,,58.464
10/2001,CAMPECHE,2417.37365,2417.37365,0.0,1415.86671,1415.70961,0.1571,,39.38815
10/2001,CHIAPAS,47.18466,47.18466,0.0,589.32163,589.32163,0.0,,14.50217
10/2001,COAHUILA DE ZARAGOZA,0.0,0.0,0.0,9.095600000000001,0.0,9.095600000000001,,0.34988
10/2001,NUEVO LEÓN,0.75936,0.0,0.75936,403.32629000000003,0.0,403.32629000000003,,3.11234
10/2001,PUEBLA,2.4568399999999997,2.4568399999999997,0.0,10.132719999999999,10.132719999999999,0.0,,0.24611
