Numero;Tipo_de_incidente;DSC_GRAVIDADE_TIPO;DSC_QUASE_ACIDENTE_ACIDENTE
1309/000224;SSO - Ferimento grave;;
1309/000225;SSO - Descarga significante de água de injeção;;
1309/000226;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1309/000227;SSO - Princípio de incêndio;;
1309/000228;SSO - Descarga significante de fluido de perfuração, completação ou intervenção em poços;;
1309/000229;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1309/000230;SSO - Descarga menor de óleo;;
1309/000231;SSO - Quase acidente de alto potencial;;
1309/000232;SSO - Ferimento grave;;
1309/000233;SSO - Queda de objetos;;
1309/000234;Reclassificação;;
1309/000234;SSO - Parada emergencial de nível menor;;
1309/000235;SSO - Parada emergencial de nível menor;;
1309/000236;SSO - Parada emergencial de nível menor;;
1309/000237;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1309/000238;SSO - Quase acidente de alto potencial;;
1309/000239;SSO - Quase acidente de alto potencial;;
1309/000241;SSO - Princípio de incêndio;;
1309/000242;SSO - Ferimento grave;;
1309/000243;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1309/000244;SSO - Descarga significante de fluido de perfuração, completação ou intervenção em poços;;
1309/000246;SSO - Descarga menor de óleo;;
1309/000247;SSO - Descarga significante de fluido de perfuração, completação ou intervenção em poços;;
1309/000248;SSO - Queda de objetos;;
1309/000249;SSO - Queda de objetos;;
1309/000250;SSO - Queda de objetos;;
1309/000251;SSO - Descarga significante de óleo;;
1309/000252;SSO - Queda de objetos;;
1309/000253;SSO - Queda de objetos;;
1309/000254;SSO - Quase acidente de alto potencial;;
1309/000255;SSO - Descarga menor de água de injeção;;
1309/000256;Queda de objetos;LEVE;Quase acidente
1309/000257;Ferimento grave;MODERADO;Acidente
1309/000258;SSO - Queda de objetos;;
1309/000259;SSO - Descarga menor de óleo;;
1309/000260;SSO - Quase acidente de alto potencial;;
1309/000261;SSO - Princípio de incêndio;;
1309/000262;SSO - Queda de objetos;;
1309/000263;SSO - Parada emergencial de nível menor;;
1309/000264;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1309/000265;SSO - Parada emergencial de nível menor;;
1309/000266;SSO - Descarga menor de água oleosa;;
1309/000267;SSO - Parada emergencial de nível menor;;
1309/000268;SSO - Parada emergencial de nível menor;;
1309/000269;SSO - Parada emergencial de nível menor;;
1309/000270;SSO - Parada emergencial de nível menor;;
1309/000271;SSO - Quase acidente de alto potencial;;
1309/000272;SSO - Queda de objetos;;
1309/000273;SSO - Descarga significante de fluido de perfuração, completação ou intervenção em poços;;
1309/000274;SSO - Quase acidente de alto potencial;;
1309/000275;SSO - Quase acidente de alto potencial;;
1309/000276;Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;MODERADO;Acidente
1309/000277;SSO - Descarga significante de óleo;;
1309/000278;SSO - Descarga menor de óleo;;
1309/000279;SSO - Queda de objetos;;
1309/000280;SSO - Princípio de incêndio;;
1309/000281;SSO - Descarga significante de óleo;;
1309/000282;SSO - Descarga significante de óleo;;
1309/000282;SSO - Perda de contenção primária significante de óleo;;
1309/000283;Princípio de incêndio;LEVE;Acidente
1309/000284;Quase acidente de alto potencial;LEVE;Quase acidente
1309/000285;SSO - Ferimento grave;;
1309/000286;SSO - Queda de objetos;;
1309/000287;SSO - Descarga significante de óleo;;
1309/000288;Reclassificação;;
1309/000288;SSO - Parada emergencial de nível menor;;
1309/000289;Descarga menor de óleo;LEVE;Acidente
1309/000289;Princípio de incêndio;LEVE;Acidente
1309/000290;SSO - Descarga significante de óleo;;
1309/000291;SSO - Queda de objetos;;
1309/000292;SSO - Perda de fonte radioativa;;
1309/000293;SSO - Descarga significante de óleo;;
1309/000294;Descarga menor de óleo;LEVE;Acidente
1309/000295;SSO - Descarga menor de óleo;;
1309/000296;SSO - Descarga menor de óleo;;
1309/000297;Descarga significante de óleo;MODERADO;Acidente
1309/000297;Perda de contenção primária significante de óleo;LEVE;Quase acidente
1309/000298;Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;MODERADO;Acidente
1309/000299;Quase acidente de alto potencial;LEVE;Quase acidente
1309/000300;SSO - Quase acidente de alto potencial;;
1309/000301;SSO - Descarga menor de fluido de perfuração, completação ou intervenção em poços;;
1309/000302;SSO - Ferimento grave;;
1309/000303;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1309/000304;SSO - Princípio de incêndio;;
1309/000305;SSO - Descarte fora de especificação de água produzida;;
1309/000306;SSO - Princípio de incêndio;;
1309/000307;SSO - Princípio de incêndio;;
1309/000308;SSO - Princípio de incêndio;;
1309/000309;SSO - Descarga menor de óleo;;
1309/000310;SSO - Descarga maior de óleo;;
1309/000311;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1309/000312;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1309/000313;SSO - Queda de objetos;;
1309/000314;SSO - Princípio de incêndio;;
1309/000315;SSO - Queda de objetos;;
1309/000316;SSO - Princípio de incêndio;;
1309/000317;SSO - Ferimento grave;;
1309/000318;Descarga menor de óleo;LEVE;Acidente
1309/000319;SSO - Quase acidente de alto potencial;;
1309/000320;SSO - Quase acidente de alto potencial;;
1309/000321;SSO - Parada emergencial de nível menor;;
1309/000322;Reclassificação;;
1309/000323;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1309/000324;SSO - Princípio de incêndio;;
1309/000325;SSO - Descarga significante de óleo;;
1309/000326;SSO - Descarga menor de óleo;;
1309/000327;SSO - Princípio de incêndio;;
1309/000328;SSO - Quase acidente de alto potencial;;
1309/000329;SSO - Quase acidente de alto potencial;;
1309/000330;Descarga significante de óleo;MODERADO;Acidente
1309/000331;SSO - Princípio de incêndio;;
1309/000332;SSO - Quase acidente de alto potencial;;
1309/000333;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1309/000334;SSO - Descarga significante de óleo;;
1309/000335;SSO - Quase acidente de alto potencial;;
1309/000335;SSO - Queda de objetos;;
1309/000336;SSO - Princípio de incêndio;;
1309/000337;SSO - Quase acidente de alto potencial;;
1309/000337;SSO - Queda de objetos;;
1309/000338;Perda de contenção primária significante de óleo;LEVE;Quase acidente
1309/000339;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1309/000340;SSO - Ferimento grave;;
1309/000341;SSO - Parada emergencial de nível menor;;
1309/000342;SSO - Parada emergencial de nível menor;;
1309/000343;SSO - Descarga significante de água produzida;;
1309/000344;SSO - Quase acidente de alto potencial;;
1309/000345;Descarga significante de água oleosa;LEVE;Acidente
1309/000346;SSO - Quase acidente de alto potencial;;
1309/000346;SSO - Queda de objetos;;
1309/000347;SSO - Descarga menor de óleo;;
1309/000348;SSO - Queda de objetos;;
1309/000349;SSO - Parada emergencial de nível menor;;
1309/000350;Reclassificação;;
1309/000350;SSO - Parada emergencial de nível menor;;
1309/000351;SSO - Parada emergencial de nível menor;;
1309/000352;SSO - Queda de objetos;;
1309/000353;Constatação de mancha de origem indeterminada;MODERADO;Quase acidente
1309/000354;SSO - Parada emergencial de nível menor;;
1309/000355;SSO - Descarga menor de óleo;;
